Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
2.728782108,0.037185549,0.019235972
2.729270437,0.022965456,0.007916359
2.729758766,0.008168453,-0.000325738
2.730247094,-0.003383752,-0.008504265
2.730735423,-0.013927186,-0.013973693
2.731223752,-0.026264994,-0.017113774
2.731712081,-0.039513512,-0.02686947
2.73220041,-0.052683447,-0.048996549
2.732688739,-0.060613671,-0.076437563
2.733177068,-0.065106629,-0.09418105
2.733665397,-0.075391248,-0.095180499
2.734153726,-0.084598807,-0.08920421
2.734642055,-0.08323889,-0.086214297
2.735130384,-0.080519264,-0.084882488
2.735618713,-0.080711123,-0.08294832
2.736107042,-0.076493343,-0.079415631
2.736595371,-0.064413597,-0.069847476
2.7370837,-0.045596373,-0.052105885
2.737572029,-0.026507289,-0.033044659
2.738060357,-0.011157902,-0.018814632
2.738548686,0.003417361,-0.006301338
2.739037015,0.019399278,0.007934735
2.739525344,0.035313922,0.025454259
2.740013673,0.046078584,0.04590344
2.740502002,0.05149755,0.066048527
2.740990331,0.058872848,0.087561042
2.74147866,0.071492275,0.110132655
2.741966989,0.08337028,0.126614489
2.742455318,0.086236123,0.134166588
2.742943647,0.083752756,0.131539189
2.743431976,0.084567621,0.11718048
2.743920305,0.083484941,0.098739143
2.744408634,0.073285769,0.082902296
2.744896963,0.057664896,0.066542962
2.745385292,0.041444237,0.05204652
2.74587362,0.027500906,0.041020173
2.746361949,0.017688632,0.019647467
2.746850278,0.009549488,-0.0153181
2.747338607,-0.002139514,-0.040236452
2.747826936,-0.020219147,-0.04411504
2.748315265,-0.038820745,-0.050560484
2.748803594,-0.051717403,-0.072712596
2.749291923,-0.061848055,-0.089193276
2.749780252,-0.07257484,-0.086393535
2.750268581,-0.083718899,-0.078797422
2.75075691,-0.088940016,-0.078341088
2.751245239,-0.081620699,-0.07969776
2.751733568,-0.071619669,-0.076571819
2.752221897,-0.071239308,-0.073443214
2.752710226,-0.072855105,-0.073956494
2.753198555,-0.062501068,-0.071385858
2.753686883,-0.043958276,-0.061184412
2.754175212,-0.028567037,-0.046196594
2.754663541,-0.014847931,-0.02839683
2.75515187,0.000667352,-0.010134393
2.755640199,0.014896204,-0.001624704
2.756128528,0.027039553,-0.010658075
2.756616857,0.04125116,-0.024806111
2.757105186,0.060271549,-0.020624476
2.757593515,0.075404772,0.007166725
2.758081844,0.079164758,0.038603718
2.758570173,0.080273514,0.056998387
2.759058502,0.082889366,0.068320037
2.759546831,0.081878881,0.0868742
2.76003516,0.077652958,0.114967137
2.760523489,0.0709678,0.135729133
2.761011818,0.060420071,0.129334201
2.761500146,0.047112485,0.101601674
2.761988475,0.035665818,0.079692854
2.762476804,0.027731426,0.077239283
2.762965133,0.0187318,0.081781659
2.763453462,0.006017919,0.076138228
2.763941791,-0.010168459,0.054815961
2.76443012,-0.026622528,0.021358152
2.764918449,-0.03881106,-0.011031976
